191528
serarch time :
0:17:02.352272
--------------------------
1312617
(1516273, 38.448694849667945)
(1312290, 37.198919932594855)
(746850, 36.89597150553739)
(354612, 36.76487581417075)
(22106, 36.55644806101491)
(816314, 35.85517458312307)
(742969, 35.60999634386992)
(1089569, 34.965248035922755)
(423584, 34.83670528802608)
(121520, 34.63372451688093)
(55620, 34.45408170077197)
(1647005, 34.35458441391221)
(1550634, 33.66585095144508)
(589225, 33.404741185303344)
(368776, 33.217691056671185)
(514112, 32.76664657705507)
(981651, 32.324719635325366)
(1651475, 32.23794356158818)
(1670396, 31.792154585166074)
(1090352, 31.69177014788797)
(1331903, 31.464874141867604)
(1473832, 31.364329618189203)
(944575, 31.338343248163646)
(575676, 31.073500504069834)
(1274149, 30.97869013405219)
(1363997, 30.96966809521652)
(973670, 30.654724444167265)
(1205852, 30.62284677964725)
(638368, 30.580392613627374)
(1633114, 30.556487236447676)
(800466, 30.390403777539778)
(1125123, 30.34072423408413)
(622544, 30.335650773781254)
(1740904, 30.169129174039583)
(1369068, 30.09648815576812)
(1090334, 30.095579614345027)
(846581, 30.05128261604761)
(286571, 30.004840997449346)
(1740818, 29.97563973936719)
(1812547, 29.8907321075801)
(1707591, 29.851212927031852)
(1588374, 29.845079345547724)
(1272746, 29.723757175725964)
(1448482, 29.71117055000219)
(937912, 29.6047336998623)
(1040449, 29.59421708892713)
(953797, 29.505984668954785)
(737042, 29.42093495080858)
(1094057, 29.413355418680162)
(1358331, 29.403327631888423)
(1243173, 29.351583282074337)
(85572, 29.351583282074333)
(349456, 29.328121584945865)
(1710428, 29.31960467551871)
(1238860, 29.31385073419424)
(548369, 29.29641547089743)
(1105132, 29.268678775693694)
(1717786, 29.229621309841576)
(1464816, 29.21820694863465)
(85968, 29.179702082071145)
(204484, 29.014914440840332)
(128875, 29.002958334474272)
(551929, 28.9784981086172)
(198974, 28.94826244198171)
(1211462, 28.94079733075284)
(276501, 28.890598544230183)
(281336, 28.813980009159035)
(893210, 28.70944028847178)
(262877, 28.69631184686929)
(507998, 28.6639225007018)
(1459277, 28.65823118653905)
(217314, 28.587111872834093)
(989771, 28.566041177978903)
(946103, 28.559290724297792)
(349719, 28.539949008969675)
(964834, 28.436701743915158)
(764368, 28.383288772657906)
(668622, 28.325399318574426)
(1561374, 28.32117629425772)
(248800, 28.282069746070288)
(1721299, 28.257205668026643)
(1059395, 28.24764159351345)
(928296, 28.22952399512405)
(478179, 28.18918088363626)
(1036131, 28.184878004361387)
(1176177, 28.174710842280295)
(1319180, 28.15021440069744)
(130885, 28.131630181912882)
(349938, 28.129624967264764)
(946455, 28.127569934950664)
(795819, 28.101023783160127)
(450735, 28.092142352792806)
(390998, 28.090595615592942)
(622095, 28.078618010293024)
(844635, 28.06049257969229)
(79991, 28.050846285993014)
(681455, 28.04514367262259)
(91019, 28.034182503439038)
(16742, 28.01119710445139)
(906710, 27.99721177619726)
(563433, 27.988013014607734)
(1706652, 27.954422410257287)
(1783273, 27.946108233571085)
(1017511, 27.922185369280626)
(1668350, 27.886772039320352)
(1642814, 27.86050593270014)
(461361, 27.854607460148927)
(461397, 27.854607460148927)
(754529, 27.852707314519623)
(755590, 27.83581802282407)
(995547, 27.82067546960767)
(897084, 27.811457003191773)
(1241019, 27.76339133025706)
(1590961, 27.749912999371208)
(844257, 27.744455622670102)
(1276127, 27.743636129011097)
(330016, 27.709240260391287)
(1676857, 27.694463367716825)
(1177148, 27.688086560757057)
(1496278, 27.66742804673492)
(89417, 27.65257848631173)
(320886, 27.65257848631173)
(193366, 27.628967040785305)
(810532, 27.624122852436194)
(364536, 27.613853943606177)
(281981, 27.60912038676421)
(1520083, 27.584997203021103)
(1212385, 27.575857577775242)
(1838908, 27.56560044961891)
(200062, 27.554591583462628)
(870985, 27.545361004157172)
(1710959, 27.534927586718894)
(44518, 27.505576376186713)
(1114511, 27.50552412407523)
(414930, 27.501679130327005)
(1183521, 27.50106278810631)
(1574430, 27.492705101814593)
(155470, 27.480591450591444)
(1273362, 27.455711133159166)
(63794, 27.35340147632998)
(952673, 27.31743265680242)
(813460, 27.307692946400856)
(482920, 27.292865136689734)
(1210715, 27.281461293429764)
(486231, 27.279494516597158)
(1484159, 27.256222376438615)
(935401, 27.24394848233885)
(1168610, 27.24394848233885)
(1401129, 27.24394848233885)
(858275, 27.22089122607591)
(243814, 27.21094461269056)
(1472802, 27.198449801860082)
(1604558, 27.1960261935189)
(1503408, 27.188437767664027)
(244444, 27.17819018678391)
(1961, 27.169181963068937)
(1737088, 27.16838091187391)
(1118710, 27.140352394790188)
(1637284, 27.137905369872275)
(1644901, 27.135247221075133)
(383305, 27.108637090832957)
(1618523, 27.104066486299423)
(1411547, 27.082160565299912)
(325091, 27.057256757872562)
(841841, 27.0472129587807)
(1058950, 27.03889400260562)
(603235, 26.999292532275003)
(1177674, 26.995156050550264)
(594167, 26.985384167218964)
(1290224, 26.966750882958518)
(713322, 26.95620715502796)
(1232858, 26.934030709075355)
(540770, 26.923585751319752)
(14871, 26.916824037369977)
(7032, 26.87654796377205)
(1355839, 26.873396937512236)
(513270, 26.857539605500627)
(1063151, 26.825768487843956)
(487415, 26.823443321887137)
(1654454, 26.80884241413016)
(711040, 26.80317424912292)
(1740768, 26.796083989069146)
(932476, 26.786606020491863)
(701855, 26.78660602049186)
(1424071, 26.7598496637274)
(399125, 26.75628013283996)
(439494, 26.7526216882588)
(721616, 26.75157323273968)
(424593, 26.747298859128577)
(1057856, 26.746705598820515)
(545931, 26.73138246993891)
(236243, 26.715488939117062)
(1606746, 26.679795546876978)
(133362, 26.657355271694207)
(1832088, 26.65527120560717)
(1752443, 26.618950426651782)
(465070, 26.609891941987122)
(659031, 26.605000017415346)
(1435753, 26.589404706718256)
(1181032, 26.585974268224824)
(943482, 26.58562515745886)
(697816, 26.572303447355296)
(536027, 26.52079890999005)
(308903, 26.508054659947387)
(591145, 26.498525783955287)
(26423, 26.491381606173185)
(1279184, 26.480647854903662)
(731924, 26.474177090754523)
(295203, 26.470448974133106)
(134077, 26.459182697764316)
(1173884, 26.437642063989458)
(996528, 26.434346405700083)
(1578971, 26.433988275953027)
(955258, 26.429544677709337)
(1658668, 26.409370651402188)
(1282877, 26.39654988845295)
(161008, 26.387530352619745)
(1304851, 26.38151996113932)
(57750, 26.367092881703254)
(358717, 26.35659518982609)
(7960, 26.348524134863435)
(867252, 26.34120765862051)
(1279519, 26.32467376116576)
(244846, 26.31149399619881)
(1640416, 26.296795331653147)
(1756526, 26.289205887438854)
(1013977, 26.27892899645223)
(483293, 26.278443303187643)
(567793, 26.256345642984417)
(458919, 26.18611617411048)
(272503, 26.15866504712372)
(1405828, 26.154053561179794)
(1376913, 26.125786055954713)
(633100, 26.12091163766027)
(745233, 26.104624137471315)
(707852, 26.093844393028945)
(1287600, 26.093481736045863)
(832461, 26.0924335580533)
(1729190, 26.082256434317973)
(795924, 26.074576834025823)
(1093164, 26.070202729747198)
(786722, 26.06527984736121)
(107674, 26.05963087703397)
(362473, 26.03909491223389)
(259292, 26.038807630445046)
(564027, 26.033631582547894)
(319475, 26.031888008597548)
(1293737, 26.017107245590942)
